"Order Price List Key","Shipping Location Code","Product Code","Product Sub Code","Form Code","Container Code","Customer Number","Customer Name","Customer Address","Order Number","Actual Ship Date","Reserved for future use","Invoice/Credit Memo Printed Date","Quantity Shipped/ Invoiced","Unit Price","Extended Price","MT","Territory Manager Code","Sales Rep Number","Status"
"1","15","3301","  ","CR","50KG","112037002","SHIVA TRADERS                           ","SHIVA TRADERS                                ","1614","1170220","1392","1170220","15","1355","40650","1.5","3550","3554","SUCCESS"
"1","15","3401","  ","CR","50KG","112037002","SHIVA TRADERS                           ","SHIVA TRADERS                                ","1614","1170221","1392","1170221","20","1555","31100","1","3550","3554","SUCCESS"
"1","15","3701","  ","CR","50KG","113100012","JAWAND LAL & COMPANY                    ","JAWAND LAL & COMPANY                         ","1794","1170211","1471","1170211","15","1355","13550","0.5","3300","3302","FAILED"
"1","15","113001","  ","PL","50KG","113100012","JAWAND LAL & COMPANY                    ","JAWAND LAL & COMPANY                         ","1794","1170208","1471","1170208","10","1125","11250","0.5","3300","3302","SUCCESS"
"1","15","113201","  ","PL","50KG","113100012","JAWAND LAL & COMPANY                    ","JAWAND LAL & COMPANY                         ","1794","1170209","1471","1170209","10","1045","10450","0.5","3300","3302","SUCCESS"
"1","15","3301","  ","CR","50KG","112037002","SHIVA TRADERS                           ","SHIVA TRADERS                                ","1614","1170222","1392","1170222","3","1355","40650","1.5","3550","3554","SUCCESS"
"1","15","113301","  ","PL","50KG","113100012","JAWAND LAL & COMPANY                    ","JAWAND LAL & COMPANY                         ","1794","1170209","1471","1170209","10","1045","10450","0.5","3300","3302","SUCCESS"
